INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
Index	 class( cån bän loÕi hình )	 Quality( ph¦m ch¤t )	 Type( loÕi khác )	 Index( v§t ph¦m s¯ )	 EquipPoint( trang b¸ ði¬m )	 Visual	 thích Ñng quy t¡c 	 sáo trang biên s¯ 	 sáo trang hi®u quä tr¸ giá 	 Name( tên )$1$	 Lv( nhu c¥u c¤p b§c )	 môn phái nhu c¥u 	 Desc( nói rõ )$1$	 cån bän giá cä 	 bán ra giá cä 	 Max nÕi lâu 	 sØa chæa th¤t bÕi thßþng hÕn 	 vây quanh bäo thÕch thßþng hÕn 	 kÛ nång ID : trang b¸ ði¬m vì vû khí lúc tiêu chí hi®u quä ID(From  StandardImpact.txt)	 chân v¯n ID	 ð° tiêu 	 loÕi hình miêu tä $1$	 phiêu mang ID	 có hay không có tß ch¤t 	 có hay không b¸ ph¦m ch¤t änh hß·ng 	 trø cµt bên ngoài công công kích 	 trø cµt bên trong công công kích 	 trø cµt bên ngoài công phòng ngñ 	 trø cµt bên trong công phòng ngñ 	 trø cµt m®nh trung 	 trø cµt né tránh 	 gia tång HP ðích thßþng hÕn 	 ph¥n tråm so gia tång HP ðích thßþng hÕn 	 tång nhanh HP ðích h°i phøc t¯c ðµ 	 gia tång MP ðích thßþng hÕn 	 ph¥n tråm so gia tång MP ðích thßþng hÕn 	 tång nhanh MP ðích h°i phøc t¯c ðµ 	 bång công kích 	 bång ch¯ng cñ 	 giäm b¾t ðóng bång ch§m lÕi th¶i gian 	 lØa công kích 	 lØa ch¯ng cñ 	 giäm b¾t höa thiêu : lØa ð¯t kéo dài th¶i gian 	 huy«n công kích 	 huy«n ch¯ng cñ 	 giäm b¾t huy«n kích hôn mê th¶i gian 	 ðµc công kích 	 ðµc ch¯ng cñ 	 giäm b¾t trúng ðµc th¶i gian 	 theo nhß ph¥n tråm so tri®t tiêu t¤t cä thuµc tính công kích 	 bên ngoài công công kích 	 theo nhß ph¥n tråm so gia tång bên ngoài công công kích 	 ð¯i v¾i trang b¸ trø cµt bên ngoài công công kích ph¥n tråm so thêm ðßþc 	 bên ngoài công phòng ngñ 	 theo nhß ph¥n tråm so gia tång bên ngoài công phòng ngñ 	 ð¯i v¾i trang b¸ trø cµt bên ngoài công phòng ngñ ph¥n tråm so thêm ðßþc 	 theo nhß ph¥n tråm so tri®t tiêu bên ngoài công t±n thß½ng 	 bên trong công công kích 	 theo nhß ph¥n tråm so gia tång bên trong công công kích 	 ð¯i v¾i trang b¸ trø cµt bên trong công công kích ph¥n tråm so thêm ðßþc 	 bên trong công phòng ngñ 	 theo nhß ph¥n tråm so gia tång bên trong công phòng ngñ 	 ð¯i v¾i trang b¸ trø cµt bên trong công phòng ngñ ph¥n tråm so thêm ðßþc 	 theo nhß ph¥n tråm so tri®t tiêu bên trong công t±n thß½ng 	 t¯c ðµ công kích ( hai l¥n công kích gian cách th¶i gian )	 bên trong công lãnh lÕi t¯c ðµ 	 m®nh trung 	 né tránh 	 hµi tâm 	 không nhìn ð¯i phß½ng phòng ngñ so tÖ s¯ 	 t¯c ðµ di ðµng ph¥n tråm so 	 t±n thß½ng phän xÕ 	 t±n thß½ng t× nµi lñc tri®t tiêu 	 lñc lßþng 	 linh khí 	 th¬ lñc 	 ð¸nh lñc 	 thân pháp 	 hµi tâm phòng ngñ 	 gia tång m÷i ngß¶i v§t c¤p mµt thuµc tính 	 sinh mÕng l¤y trµm 	 nµi lñc l¤y trµm 	 gia tång mµt kÛ nång c¤p b§c 	 gia tång t¤t cä kÛ nång c¤p b§c 	 ð£c thù kÛ nång phát ðµng xác su¤t 	 r¾t xu¯ng møc tiêu bång ch¯ng cñ 	 r¾t xu¯ng møc tiêu lØa ch¯ng cñ 	 r¾t xu¯ng møc tiêu huy«n ch¯ng cñ 	 r¾t xu¯ng møc tiêu ðµc ch¯ng cñ 	 ph¦m ch¤t quy t¡c 	 lúc ð¥u tr¸ s¯ ðoÕn 	 thuµc tính con ðªm min	 thuµc tính con ðªm max	 tß ch¤t min	 tß ch¤t max	 thång c¤p sau biªn thành tß nguyên id	 b÷c hành lý 	 cách rß½ng 	 có hay không loa phát thanh 	 phù ðµng không gian 	 ph¦m c¤p
10100000	1	1	0	0	0	410	1	-1	-1	Thanh ð°ng ðao	1	-1	Vû khí cüa tân thü, không có giá tr¸ gì.#r#c00FF00 („n phím phäi ð¬ trang b¸) 	20	16	114	3	0	-1	-1	Broadsword1_1	Ðao búa	-1	0	0	75	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	0	0	0	0	-1	0	0	0	-1	-1
10100001	1	1	0	1	0	412	1	-1	-1	BÕt phong ðao	10	-1	Chª tÕo b¢ng thanh ð°ng, dáng ðao cong, n£ng n«, nhæng ngß¶i có sÑc khöe nhß trâu m¾i có th¬ sØ døng	180	144	125	3	0	-1	-1	Broadsword1_3	Ðao búa	-1	0	0	117	117	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	0	0	0	0	-1	0	0	0	-1	-1
10100002	1	1	0	2	0	416	1	-1	-1	Chiªt thiªt ðao	20	-1	S¯ng ðao rµng, lßÞi ðao dày h½i cùn, có th¬ ch£t s¡t, vì v§y m¾i có tên g÷i nhß v§y	540	432	137	3	0	-1	-1	Broadsword1_5	Ðao búa	-1	0	0	202	202	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	0	0	0	0	-1	0	0	0	-1	-1
10100003	1	1	0	3	0	420	1	-1	-1	C± nguy®t ðao	30	-1	Thanh ðao có màu bÕc, ðao cong gi¯ng nhß mûi voi, lßÞi ðao bóng lßÞng s¡c bén, s¯ng ðao có th¬ móc l¤y kë ð¸ch, uy lñc trung bình.	1150	920	150	3	0	-1	-1	Broadsword1_9	Ðao búa	-1	0	0	287	287	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	0	0	0	0	-1	0	0	0	-1	-1
10100004	1	1	0	4	0	419	1	-1	-1	Khai s½n vi®t	40	-1	S¯ng ðao cong gi¯ng nhß trång khuyªt, cong h½n næa không thÆng, có th¬ b± thÆng và cûng có th¬ chém ngang.	1780	1424	162	3	0	-1	-1	Broadsword1_14	Ðao búa	-1	0	0	373	373	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	0	0	0	0	-1	0	0	0	-1	-1
10100005	1	1	0	5	0	421	1	-1	-1	Kim b¯i ðao	50	-1	Thân ðao ch² g¥n chuôi nhö, lßÞi ðao ðªn t§n mûi ðao, sau ðó tiªo tøc cong ðªn s¯ng ðao, dày và có lñc, thân ðao có trang trí hoa vån màu vàng.	2700	2160	175	3	0	-1	-1	Broadsword2_2	Ðao búa	-1	0	0	458	458	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	0	0	0	0	-1	0	0	0	-1	-1
10100006	1	1	0	6	0	431	1	-1	-1	Nguy®t nha sän	60	-1	ÐoÕn trß¾c cüa sän cong gi¯ng hình bán nguy®t, bên trong lõm, Nguy®t nha hß¾ng ra bên ngoài, phía cu¯i có chuôi n¡m gi¯ng hình chiªc rìu, ðoÕn cu¯i có lßÞi, khi t¤n công ð¸ch có th¬ sØ døng cä mûi và chuôi sän, khiªn cho k¬ ð¸nh không th¬ phòng ngñ ðßþc.	3850	3080	187	3	0	-1	-1	Broadsword2_6	Ðao búa	-1	0	0	543	543	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	0	0	0	0	-1	0	0	0	-1	-1
10100007	1	1	0	7	0	437	1	-1	-1	Li®t di®m ðao	70	-1	Toàn thân vàng h°ng, gi¯ng nhß ng÷n lØa mÕnh, khí thª vô cùng, t¤n công thành r¤t thích hþp	5570	4456	200	3	0	-1	-1	Broadsword2_10	Ðao búa	-1	0	0	628	628	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	0	0	0	0	-1	0	0	0	-1	-1
10100008	1	1	0	8	0	443	1	-1	-1	Ô long sän	80	-1	Tß½ng truy«n danh tß¾ng c± ðÕi thß¶ng dùng, ðßþc làm t× ô kim, trên ðó có kh¡c du long phi thiên, sát khí vây quanh.	7450	5960	212	3	0	-1	-1	Broadsword2_15	Ðao búa	-1	0	0	713	713	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	0	0	0	0	-1	0	0	0	-1	-1
